region,category,parameter,mode,powertrain,year,unit,value
Mexico,Historical,EV stock,Cars,BEV,2020,stock,3100
Mexico,Historical,EV stock,Cars,BEV,2021,stock,6400
Mexico,Historical,EV stock,Cars,PHEV,2021,stock,5100
Netherlands,Historical,EV stock,Cars,BEV,2010,stock,270
Netherlands,Historical,EV stock,Cars,PHEV,2010,stock,11
Netherlands,Historical,EV stock,Cars,PHEV,2011,stock,26
Netherlands,Historical,EV stock,Cars,BEV,2011,stock,1100
Netherlands,Historical,EV stock,Cars,BEV,2012,stock,1900
Netherlands,Historical,EV stock,Cars,PHEV,2012,stock,4400
Netherlands,Historical,EV stock,Cars,PHEV,2013,stock,24000
Netherlands,Historical,EV stock,Cars,BEV,2013,stock,4200
Netherlands,Historical,EV stock,Cars,BEV,2014,stock,6800
Netherlands,Historical,EV stock,Cars,PHEV,2014,stock,37000
Netherlands,Historical,EV stock,Cars,PHEV,2015,stock,78000
Netherlands,Historical,EV stock,Cars,BEV,2015,stock,9400
Netherlands,Historical,EV stock,Cars,BEV,2016,stock,13000
Netherlands,Historical,EV stock,Cars,PHEV,2016,stock,99000
Netherlands,Historical,EV stock,Cars,PHEV,2017,stock,98000
Netherlands,Historical,EV stock,Cars,BEV,2017,stock,21000
Netherlands,Historical,EV stock,Cars,BEV,2018,stock,45000
Netherlands,Historical,EV stock,Cars,PHEV,2018,stock,98000
Netherlands,Historical,EV stock,Cars,PHEV,2019,stock,96000
Netherlands,Historical,EV stock,Cars,BEV,2019,stock,110000
Netherlands,Historical,EV stock,Cars,BEV,2020,stock,180000
Netherlands,Historical,EV stock,Cars,PHEV,2020,stock,110000
Netherlands,Historical,EV stock,Cars,PHEV,2021,stock,140000
Netherlands,Historical,EV stock,Cars,BEV,2021,stock,250000
New Zealand,Historical,EV stock,Cars,BEV,2010,stock,14
New Zealand,Historical,EV stock,Cars,BEV,2011,stock,27
New Zealand,Historical,EV stock,Cars,PHEV,2011,stock,2
New Zealand,Historical,EV stock,Cars,PHEV,2012,stock,7
New Zealand,Historical,EV stock,Cars,BEV,2012,stock,49
New Zealand,Historical,EV stock,Cars,BEV,2013,stock,79
New Zealand,Historical,EV stock,Cars,PHEV,2013,stock,13
New Zealand,Historical,EV stock,Cars,PHEV,2014,stock,220
New Zealand,Historical,EV stock,Cars,BEV,2014,stock,190
New Zealand,Historical,EV stock,Cars,BEV,2015,stock,490
New Zealand,Historical,EV stock,Cars,PHEV,2015,stock,420
New Zealand,Historical,EV stock,Cars,PHEV,2016,stock,760
New Zealand,Historical,EV stock,Cars,BEV,2016,stock,1600
New Zealand,Historical,EV stock,Cars,BEV,2017,stock,4600
New Zealand,Historical,EV stock,Cars,PHEV,2017,stock,1300
New Zealand,Historical,EV stock,Cars,PHEV,2018,stock,2500
New Zealand,Historical,EV stock,Cars,BEV,2018,stock,8900
New Zealand,Historical,EV stock,Cars,BEV,2019,stock,13000
New Zealand,Historical,EV stock,Cars,PHEV,2019,stock,4400
